date,close,high,low,open,volume,ticker,sector,company
2023-01-02,46.247352600097656,46.49109667079175,44.98560346545514,45.45159089007871,958977,HBL.KA,Banking,HBL
2023-01-03,45.602149963378906,46.99294199943388,45.02145818942932,46.03946074853991,1449704,HBL.KA,Banking,HBL
2023-01-04,45.72401809692383,45.88173744451404,44.51962227022416,44.51962227022416,109780,HBL.KA,Banking,HBL
2023-01-05,46.27603530883789,46.455260843776024,45.16483480440976,46.38356625417736,199038,HBL.KA,Banking,HBL
2023-01-06,45.91041564941406,46.577134886676745,45.53045563945662,46.577134886676745,145546,HBL.KA,Banking,HBL
2023-01-09,44.44076156616211,45.70250803569434,44.30454841941433,45.70250803569434,280281,HBL.KA,Banking,HBL
2023-01-10,44.79922103881836,45.71685500750007,44.59131873817486,44.59131873817486,289175,HBL.KA,Banking,HBL
2023-01-11,45.3082160949707,45.52328619144191,44.663003070792435,44.80638404669479,288783,HBL.KA,Banking,HBL
2023-01-12,45.0931396484375,45.85305406460814,45.02144780319971,45.83871569556058,277856,HBL.KA,Banking,HBL
2023-01-13,44.713191986083984,45.12899659837123,44.26154554348027,44.6630090480169,133141,HBL.KA,Banking,HBL
2023-01-16,44.283050537109375,45.2723763682205,43.7238676796298,45.2723763682205,134620,HBL.KA,Banking,HBL
2023-01-17,44.01779556274414,45.15049960093947,43.65934446772103,45.15049960093947,426538,HBL.KA,Banking,HBL
2023-01-18,44.44076156616211,44.73469131237364,43.73102729689968,43.94609737599712,461778,HBL.KA,Banking,HBL
2023-01-19,44.584144592285156,44.80638524762869,43.0499743989687,44.426427975853514,729812,HBL.KA,Banking,HBL
2023-01-20,44.23286437988281,45.73835784106853,43.73103231456599,44.806385568202856,1032972,HBL.KA,Banking,HBL
2023-01-23,44.2472038269043,44.4479355640041,43.386920656131906,44.4479355640041,239903,HBL.KA,Banking,HBL
2023-01-24,45.35123062133789,45.58780965299636,43.51596279411242,43.51596279411242,466645,HBL.KA,Banking,HBL
2023-01-25,48.749351501464844,48.749351501464844,45.52329147563261,46.16850457470505,4073727,HBL.KA,Banking,HBL
