date,sector,year,month,quarter,month_name,yearmonth,avg_close,avg_daily_return,total_volume,avg_volatility,stock_count
2023-01-03,Banking,2023,1,1,Jan,2023-01,49.388,-0.0055283464929345,7920527,,5
2023-01-03,Cement,2023,1,1,Jan,2023-01,145.7575,-0.027553145877451196,2974412,,4
2023-01-03,Energy,2023,1,1,Jan,2023-01,58.641999999999996,0.005129684418380509,28528520,,5
2023-01-03,Fertilizer,2023,1,1,Jan,2023-01,71.6075,-0.002720297636107677,1461451,,4
2023-01-03,Technology,2023,1,1,Jan,2023-01,168.9325,-0.004231303855913693,6935004,,4
2023-01-04,Banking,2023,1,1,Jan,2023-01,49.226,-0.0007705289080087496,3200000,0.005983793050263619,5
2023-01-04,Cement,2023,1,1,Jan,2023-01,145.89,-0.0035506045825139665,4248020,0.01697235971536025,4
2023-01-04,Energy,2023,1,1,Jan,2023-01,58.222,0.001875893899341552,27544457,0.022753169281460796,5
2023-01-04,Fertilizer,2023,1,1,Jan,2023-01,71.925,0.0012854843758909884,1365693,0.005779465982131804,4
2023-01-04,Technology,2023,1,1,Jan,2023-01,169.4375,0.0005963104253387808,8311691,0.0076190453095194705,4
2023-01-05,Banking,2023,1,1,Jan,2023-01,49.27,0.001254177967933634,600113,0.00759430390133254,5
2023-01-05,Cement,2023,1,1,Jan,2023-01,145.535,-0.00058297854037892,1039863,0.017297497608968704,4
2023-01-05,Energy,2023,1,1,Jan,2023-01,58.364,-0.0013105050689252717,18090777,0.025164524825653067,5
2023-01-05,Fertilizer,2023,1,1,Jan,2023-01,73.20750000000001,0.0063902566472731626,1373957,0.00872404651406164,4
2023-01-05,Technology,2023,1,1,Jan,2023-01,171.03,0.004267139925426905,2376393,0.008363911036874594,4
2023-01-06,Banking,2023,1,1,Jan,2023-01,48.774,-0.01042687592187017,682362,0.007828434116555073,5
2023-01-06,Cement,2023,1,1,Jan,2023-01,146.425,0.01020629187608324,3622651,0.01794651802361745,4
2023-01-06,Energy,2023,1,1,Jan,2023-01,60.20799999999999,0.029627559287158302,26871641,0.028354857077536592,5
2023-01-06,Fertilizer,2023,1,1,Jan,2023-01,74.3825,0.0016457328206837818,1833514,0.008674074613316747,4
2023-01-06,Technology,2023,1,1,Jan,2023-01,174.51,0.022607010708178832,10242219,0.01330330890344113,4
2023-01-09,Banking,2023,1,1,Jan,2023-01,47.867999999999995,-0.020541802718120006,2204873,0.011319253250977044,5
2023-01-09,Cement,2023,1,1,Jan,2023-01,142.73,-0.03039129173807939,4577872,0.02047980998403001,4
2023-01-09,Energy,2023,1,1,Jan,2023-01,61.388,0.01829709309729779,34451300,0.025645084707624645,5
2023-01-09,Fertilizer,2023,1,1,Jan,2023-01,73.1025,-0.02660130660523602,1046742,0.015071469965449669,4
2023-01-09,Technology,2023,1,1,Jan,2023-01,170.69,-0.029654007703140667,12190571,0.02048144621018447,4
2023-01-10,Banking,2023,1,1,Jan,2023-01,48.228,0.008190870128478633,1077328,0.012915459241682112,5
2023-01-10,Cement,2023,1,1,Jan,2023-01,147.4425,0.030520434164526045,7998412,0.025384483527549396,4
2023-01-10,Energy,2023,1,1,Jan,2023-01,60.878,-0.012058127362878123,22940378,0.025137712384750717,5
2023-01-10,Fertilizer,2023,1,1,Jan,2023-01,73.44999999999999,0.001052867692001913,3150779,0.014406145444770629,4
2023-01-10,Technology,2023,1,1,Jan,2023-01,173.31,0.01905585044108693,7821602,0.02082696518832467,4
2023-01-11,Banking,2023,1,1,Jan,2023-01,48.03,-0.0027343873735773184,588656,0.012218868776131899,5
2023-01-11,Cement,2023,1,1,Jan,2023-01,145.7675,-0.021444629733556653,7314167,0.024249557114733068,4
2023-01-11,Energy,2023,1,1,Jan,2023-01,62.75999999999999,0.04073771714676191,56105530,0.0263375091434717,5
2023-01-11,Fertilizer,2023,1,1,Jan,2023-01,73.375,-0.0010298041506277,1510774,0.013812460239761843,4
2023-01-11,Technology,2023,1,1,Jan,2023-01,172.005,-0.011978471983596695,3525577,0.019814734062668884,4
2023-01-12,Banking,2023,1,1,Jan,2023-01,47.980000000000004,-0.0006697611886313127,740737,0.011455641226606155,5
