date,ticker,sector,open,high,low,close,volume,company,year,month,quarter,week,month_name,yearmonth,daily_return,52w_high,52w_low,pct_from_52w_high,ma_30,volatility_30d
2023-03-15,ABL.KA,Banking,41.31,41.31,41.31,41.31,0,ABL,2023,3,1,11,Mar,2023-03,0.0,43.12,37.61,-4.2,40.676,0.015034444108330118
2023-03-16,ABL.KA,Banking,41.27,41.27,40.73,40.92,2500,ABL,2023,3,1,11,Mar,2023-03,-0.009440813362382006,43.12,37.61,-5.1,40.68466666666667,0.01514498742905904
2023-03-17,ABL.KA,Banking,40.49,40.92,40.36,40.65,5500,ABL,2023,3,1,11,Mar,2023-03,-0.006598240469208316,43.12,37.61,-5.73,40.69233333333333,0.015155378172038577
2023-03-20,ABL.KA,Banking,40.65,40.65,40.65,40.65,0,ABL,2023,3,1,12,Mar,2023-03,0.0,43.12,37.61,-5.73,40.69133333333333,0.015111073281419137
2023-03-21,ABL.KA,Banking,40.65,40.65,40.65,40.65,0,ABL,2023,3,1,12,Mar,2023-03,0.0,43.12,37.61,-5.73,40.63166666666666,0.01272418853858348
2023-03-22,ABL.KA,Banking,39.07,41.51,39.07,41.51,1500,ABL,2023,3,1,12,Mar,2023-03,0.021156211562115557,43.12,37.61,-3.73,40.63966666666666,0.012367659387884429
2023-03-23,ABL.KA,Banking,41.51,41.51,41.51,41.51,0,ABL,2023,3,1,12,Mar,2023-03,0.0,43.12,37.61,-3.73,40.64766666666666,0.012367659387884429
2023-03-24,ABL.KA,Banking,40.14,40.14,40.01,40.01,1500,ABL,2023,3,1,12,Mar,2023-03,-0.03613587087448811,43.12,37.61,-7.21,40.669999999999995,0.011056529995554306
2023-03-27,ABL.KA,Banking,39.37,39.37,39.37,39.37,500,ABL,2023,3,1,13,Mar,2023-03,-0.01599600099975007,43.12,37.61,-8.7,40.667,0.011452073510593776
2023-03-28,ABL.KA,Banking,39.21,39.56,39.21,39.56,1500,ABL,2023,3,1,13,Mar,2023-03,0.004826009652019403,43.12,37.61,-8.26,40.67133333333333,0.011484861539209015
2023-03-29,ABL.KA,Banking,39.37,39.68,39.37,39.56,43500,ABL,2023,3,1,13,Mar,2023-03,0.0,43.12,37.61,-8.26,40.65599999999999,0.011140176088501218
2023-03-30,ABL.KA,Banking,39.56,39.56,39.56,39.56,0,ABL,2023,3,1,13,Mar,2023-03,0.0,43.12,37.61,-8.26,40.66,0.010814067320178714
2023-03-31,ABL.KA,Banking,39.69,39.69,39.56,39.69,23500,ABL,2023,3,1,13,Mar,2023-03,0.0032861476238623677,43.12,37.61,-7.95,40.648333333333326,0.010454785976680344
2023-04-03,ABL.KA,Banking,39.76,40.62,39.76,40.47,1500,ABL,2023,4,2,14,Apr,2023-04,0.019652305366591127,43.12,37.61,-6.15,40.66266666666666,0.011068003724989943
2023-04-04,ABL.KA,Banking,40.33,40.33,39.69,39.73,16500,ABL,2023,4,2,14,Apr,2023-04,-0.018285149493451947,43.12,37.61,-7.86,40.650333333333336,0.011578852287166647
2023-04-05,ABL.KA,Banking,39.72,39.72,39.69,39.71,1500,ABL,2023,4,2,14,Apr,2023-04,-0.0005033979360683505,43.12,37.61,-7.91,40.629,0.011514028537019126
2023-04-06,ABL.KA,Banking,39.85,39.85,39.85,39.85,500,ABL,2023,4,2,14,Apr,2023-04,0.00352556031226392,43.12,37.61,-7.58,40.59866666666666,0.011365573961460672
2023-04-07,ABL.KA,Banking,39.72,39.72,39.69,39.69,10500,ABL,2023,4,2,14,Apr,2023-04,-0.004015056461731614,43.12,37.61,-7.95,40.56633333333333,0.011377501423225548
2023-04-10,ABL.KA,Banking,40.78,40.78,40.33,40.33,2000,ABL,2023,4,2,15,Apr,2023-04,0.016124968505920823,43.12,37.61,-6.47,40.55533333333333,0.01178725365537604
2023-04-11,ABL.KA,Banking,40.71,40.74,40.01,40.33,8000,ABL,2023,4,2,15,Apr,2023-04,0.0,43.12,37.61,-6.47,40.544333333333334,0.01178725365537604
2023-04-12,ABL.KA,Banking,40.49,40.78,40.33,40.78,20500,ABL,2023,4,2,15,Apr,2023-04,0.011157946937763619,43.12,37.61,-5.43,40.54833333333333,0.011968557296270842
2023-04-13,ABL.KA,Banking,40.65,40.65,40.65,40.65,1500,ABL,2023,4,2,15,Apr,2023-04,-0.0031878371750858614,43.12,37.61,-5.73,40.548,0.0119842402886961
2023-04-14,ABL.KA,Banking,40.65,40.65,40.65,40.65,0,ABL,2023,4,2,15,Apr,2023-04,0.0,43.12,37.61,-5.73,40.52933333333333,0.011711520573543872
2023-04-17,ABL.KA,Banking,40.65,40.65,40.65,40.65,0,ABL,2023,4,2,16,Apr,2023-04,0.0,43.12,37.61,-5.73,40.52733333333334,0.011499567882329254
2023-04-18,ABL.KA,Banking,40.65,40.68,40.65,40.68,1500,ABL,2023,4,2,16,Apr,2023-04,0.0007380073800737907,43.12,37.61,-5.66,40.527,0.011499891228956415
2023-04-19,ABL.KA,Banking,40.68,40.68,40.68,40.68,0,ABL,2023,4,2,16,Apr,2023-04,0.0,43.12,37.61,-5.66,40.51733333333333,0.011427461328385362
2023-04-20,ABL.KA,Banking,40.74,40.74,40.74,40.74,500,ABL,2023,4,2,16,Apr,2023-04,0.001474926253687281,43.12,37.61,-5.52,40.49933333333333,0.01133897005286
2023-04-21,ABL.KA,Banking,40.74,40.74,40.74,40.74,0,ABL,2023,4,2,16,Apr,2023-04,0.0,43.12,37.61,-5.52,40.461,0.010973056963279009
2023-04-24,ABL.KA,Banking,40.74,40.74,40.74,40.74,0,ABL,2023,4,2,17,Apr,2023-04,0.0,43.12,37.61,-5.52,40.42266666666667,0.010973056963279009
2023-04-25,ABL.KA,Banking,40.74,40.74,40.74,40.74,0,ABL,2023,4,2,17,Apr,2023-04,0.0,43.12,37.61,-5.52,40.403666666666666,0.010696109096082575
2023-04-26,ABL.KA,Banking,39.69,40.96,39.69,39.96,29500,ABL,2023,4,2,17,Apr,2023-04,-0.019145802650957333,43.12,37.61,-7.33,40.358666666666664,0.011228874370517866
2023-04-27,ABL.KA,Banking,40.65,40.81,40.65,40.81,4500,ABL,2023,4,2,17,Apr,2023-04,0.021271271271271264,43.12,37.61,-5.36,40.355,0.011821457863512526
2023-04-28,ABL.KA,Banking,41.54,41.54,40.71,40.79,10500,ABL,2023,4,2,17,Apr,2023-04,-0.0004900759617741945,43.12,37.61,-5.4,40.35966666666666,0.011756707802686816
2023-05-01,ABL.KA,Banking,40.79,40.79,40.79,40.79,0,ABL,2023,5,2,18,May,2023-05,0.0,43.12,37.61,-5.4,40.36433333333333,0.011756707802686816
2023-05-02,ABL.KA,Banking,40.97,43.84,40.97,43.43,41000,ABL,2023,5,2,18,May,2023-05,0.06472174552586418,43.84,37.61,-0.94,40.457,0.016644483232427596
2023-05-03,ABL.KA,Banking,43.27,43.27,42.41,42.43,6500,ABL,2023,5,2,18,May,2023-05,-0.023025558369790478,43.84,37.61,-3.22,40.48766666666667,0.016875149029432705
2023-05-04,ABL.KA,Banking,42.89,42.95,42.25,42.95,509000,ABL,2023,5,2,18,May,2023-05,0.012255479613481057,43.84,37.61,-2.03,40.53566666666667,0.017001319590546293
2023-05-05,ABL.KA,Banking,42.9,43.46,42.89,43.46,5500,ABL,2023,5,2,18,May,2023-05,0.011874272409778674,43.84,37.61,-0.87,40.65066666666667,0.01555661655646517
2023-05-08,ABL.KA,Banking,44.0,44.0,43.2,43.2,11000,ABL,2023,5,2,19,May,2023-05,-0.005982512655315242,44.0,37.61,-1.82,40.77833333333333,0.015241994218892005
2023-05-09,ABL.KA,Banking,43.2,43.2,43.2,43.2,69000,ABL,2023,5,2,19,May,2023-05,0.0,44.0,37.61,-1.82,40.89966666666667,0.015249805997774615
2023-05-10,ABL.KA,Banking,43.2,43.2,43.2,43.2,38500,ABL,2023,5,2,19,May,2023-05,0.0,44.0,37.61,-1.82,41.021,0.015249805997774615
2023-05-11,ABL.KA,Banking,43.2,43.2,43.2,43.2,0,ABL,2023,5,2,19,May,2023-05,0.0,44.0,37.61,-1.82,41.14233333333333,0.015249805997774615
2023-05-12,ABL.KA,Banking,43.2,43.36,43.2,43.36,2500,ABL,2023,5,2,19,May,2023-05,0.0037037037037035425,44.0,37.61,-1.45,41.26466666666667,0.015250221169516458
2023-05-15,ABL.KA,Banking,43.66,43.86,43.53,43.86,7500,ABL,2023,5,2,20,May,2023-05,0.011531365313653064,44.0,37.61,-0.32,41.37766666666667,0.015015858647945897
2023-05-16,ABL.KA,Banking,43.53,43.53,43.53,43.53,1000,ABL,2023,5,2,20,May,2023-05,-0.007523939808481539,44.0,37.61,-1.07,41.504333333333335,0.014618278780828907
2023-05-17,ABL.KA,Banking,43.53,43.53,43.53,43.53,3500,ABL,2023,5,2,20,May,2023-05,0.0,44.0,37.61,-1.07,41.63166666666667,0.014614228691791758
2023-05-18,ABL.KA,Banking,43.54,43.54,43.53,43.53,14000,ABL,2023,5,2,20,May,2023-05,0.0,44.0,37.61,-1.07,41.754333333333335,0.014625416434694657
2023-05-19,ABL.KA,Banking,44.2,45.61,43.53,45.23,6000,ABL,2023,5,2,20,May,2023-05,0.039053526303698405,45.61,37.61,-0.83,41.939,0.015960878084248065
2023-05-22,ABL.KA,Banking,43.53,43.53,43.53,43.53,500,ABL,2023,5,2,21,May,2023-05,-0.03758567322573503,45.61,37.61,-4.56,42.04566666666667,0.017544068796480808
2023-05-23,ABL.KA,Banking,45.03,45.86,45.03,45.86,12000,ABL,2023,5,2,21,May,2023-05,0.053526303698598676,45.86,37.61,0.0,42.230000000000004,0.01983303153421517
2023-05-24,ABL.KA,Banking,46.15,46.15,46.15,46.15,1000,ABL,2023,5,2,21,May,2023-05,0.006323593545573436,46.15,37.61,0.0,42.409,0.019796498555792293
2023-05-25,ABL.KA,Banking,44.86,45.19,44.53,44.53,9500,ABL,2023,5,2,21,May,2023-05,-0.03510292524377023,46.15,37.61,-3.51,42.53833333333333,0.02103268662611846
2023-05-26,ABL.KA,Banking,46.02,46.02,44.53,44.54,9000,ABL,2023,5,2,21,May,2023-05,0.00022456770716372532,46.15,37.61,-3.49,42.668,0.021031528542335393
